BAIdentifier,BALegalName,BAAddress,BAPhoneNumber,BACorporateStatus,BACorporateStatusEffectiveDate,AmalgamatedIntoBAID,AmalgamatedIntoBALegalName,BAAmalgamationEstablishedDate,BALicenceEligibilityType,BALicenceEligibiltyDesc,BAAbbreviatedName
0W60,GLENORA RESOURCES LTD,681 TOWER PARK RD    SIDNEY BC CA V8L 5L7,999-999-9999,STRUCK,1995-07-01,,,,03,Limited Eligibility,GLENORA RES
0W61,LOCKPORT OIL & GAS LTD.,801 6 AVE SW SUITE 1820    CALGARY AB CA T2P 3W2,999-999-9999,DISSOLUTION/DISSOLVED,1998-01-15,,,,03,Limited Eligibility,LOCKPORT OIL &
0W63,LEGAL OIL & GAS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0036,LEGAL OIL & GAS LTD.,2003-08-31,01,Not Eligible,
0W64,SOUSA PIPELINE COMPANY LTD,840 7 AVE SW SUITE 840    CALGARY AB CA T2P 3G2,999-999-9999,STRUCK,2001-07-02,,,,01,Not Eligible,SOUSA PPL
0W65,C A C LEASING COMPANY LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,
0W66,LEITH H.E. ,805 8 AVE SW SUITE 301    CALGARY AB CA T2P 0L4,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,"LEITH, H.E."
0W67,S.E.L. ENGINEERING LTD,92 Woodmeadow Close SW    Calgary AB CA T2W 4L8,999-999-9999,STRUCK,2004-07-02,,,,01,Not Eligible,S.E.L. ENG
0W68,NORCO ENGINEERING LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1985-05-01,,,,01,Not Eligible,
0W69,TWILIGHT GAS GROUP,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,ACTIVE,2002-10-01,,,,01,Not Eligible,TWILIGHT
0W6A,RICHARDSON GREENSHIELDS OF CANADA LIMITED,55 METCALFE ST FLOOR 14    OTTAWA ON CA K1P 6L5,999-999-9999,ACTIVE,1988-05-01,,,,01,Not Eligible,RICHARDSON GRE
0W6B,RYLL RICK M.D. ,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,999-999-9999,NON REGISTERED,1986-01-01,,,,01,Not Eligible,RICK M D RYLL
0W6C,ALTON ROBERT DENNIS ,10060 JASPER AVE NW SUITE 2800    EDMONTON AB CA T5J 3V9,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,ROBERT DENNIS
0W6D,ROBERTSON-FINLEY OPERATING COMPANY,PO BOX 986    RENO NV US 89504,999-999-9999,STRUCK,1995-05-01,,,,01,Not Eligible,ROBERTSON FINL
0W6E,ROCKY MOUNTAIN MINERALS LTD,500-444 St Mary Ave    Winnipeg MB CA R3C 3T1,999-999-9999,STRUCK,1995-11-16,,,,01,Not Eligible,
0W6F,ROYAL TRUST ENERGY CORP. LTD,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,999-999-9999,NON REGISTERED,1986-06-01,,,,01,Not Eligible,ROYAL TRUST EN
0W6G,MANAR CANADA INC,1600-407 2 St SW    Calgary AB CA T2P 2Y3,999-999-9999,STRUCK,1996-01-01,,,,01,Not Eligible,SACO RESOURCES
0W6H,SAVOY MINERALS LTD,600-550 11 Ave SW    Calgary AB CA T2R 1M7,999-999-9999,STRUCK,1991-04-01,,,,01,Not Eligible,SAVOY MINERALS
0W6J,SCOTSTOUN HOLDINGS LTD.,6 Greystone Cres    Sherwood Park AB CA T8A 3E4,999-999-9999,ACTIVE,2009-04-02,,,,01,Not Eligible,SCOTSTOUN HOLD
0W6K,SCOTTISH ALBERTA INC,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1988-02-01,0JB8,GERWATOSKI BROTHERS ENTERPRISES LTD.,2002-10-31,01,Not Eligible,SCOTTISH ALBER
0W6L,"SIDRO, S.A",38 RUE DE NAPLES    BRUSSELS  BE 1050,999-999-9999,NON REGISTERED,1994-01-01,,,,01,Not Eligible,"SIDRO, S.A."
0W6M,SISCOE METALS OF ONTARIO LIMITED,"2 FLOOR, 5 HAZELTON AVE    TORONTO ON CA M5R 2E1",999-999-9999,STRUCK,1984-09-01,,,,01,Not Eligible,SISCOE METALS
0W6N,SKOCDOPOLE RANCHES LTD,PO Box 40    Botha AB CA T0C 0N0,999-999-9999,STRUCK,1996-05-27,,,,01,Not Eligible,SKOCDOPOLE RAN
0W6P,ST. IVES MANAGEMENT LTD,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1983-11-01,,,,01,Not Eligible,ST IVES MANAGE
0W6R,STANSTEAD DEVELOPMENTS (1980) LTD,1071 WAIN RD RR 4   SIDNEY BC CA V8L 4R4,999-999-9999,STRUCK,1997-04-01,,,,01,Not Eligible,STANSTEAD DEVE
0W6T,STENHOUSE JEANE ,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,999-999-9999,NON REGISTERED,1985-03-01,,,,01,Not Eligible,"STENHOUSE, JEA"
0W6W,STONERIDGE RESOURCES CORPORATION,9945 108 ST    EDMONTON AB CA T4J 5J4,999-999-9999,AMALGAMATED,1998-04-01,0GG8,CROZET HOLDINGS LTD,2002-10-31,01,Not Eligible,STONERIDGE RES
0W6X,STRIDER RESOURCES LIMITED,24 Stratton Hill Rise SW    Calgary AB CA T3H 1X7,999-999-9999,STRUCK,1997-04-01,,,,01,Not Eligible,STRIDER RESOUR
0W6Y,SULCHEM PRODUCTS (1989) LTD,707 8 AVE SW FLOOR 39    CALGARY AB CA T2P 1H5,999-999-9999,DISSOLUTION/DISSOLVED,2002-10-01,,,,01,Not Eligible,SULCHEM PRODUC
0W6Z,SUMMIT EXPLORATION (CANADA) LTD,1925 MERCANTILE DALLAS BUILDING    DALLAS NV US 75201,999-999-9999,STRUCK,1991-07-01,,,,01,Not Eligible,SUMMIT EXPLORA
0W70,ARCTIC SLOPE OIL LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1978-07-15,,,,01,Not Eligible,
0W71,C D R DEVELOPMENT LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1987-07-31,,,,01,Not Eligible,
0W72,PUBCO CANADIAN PETROLEUM CORPORATION,PO BOX 200    CALGARY AB CA T2P 2H8,999-999-9999,STRUCK,1982-10-01,,,,03,Limited Eligibility,PUBCO CDN PETR
0W73,AMERICAN BARRICK RESOURCES CORPORATION,24 Hazelton Ave    Toronto ON CA M5R 2E2,999-999-9999,STRUCK,1991-03-01,,,,03,Limited Eligibility,AM BARRICK RES
0W74,SEAGULL RESOURCES LIMITED,4723 1 ST SW SUITE 302    CALGARY AB CA T2G 4Y8,999-999-9999,STRUCK,1991-04-01,,,,03,Limited Eligibility,SEAGULL RES
0W75,DOME PETROLEUMS LTD & ALBERTA GAS TRUNK LINE CO LTD,PO BOX 200    CALGARY AB CA T2P 2H8,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,DOME & AGTL
0W76,"ATLAS OIL AND GAS, LIMITED",PO BOX 650    SCARBOROUGH ON CA M1K 5E3,999-999-9999,STRUCK,1996-10-01,,,,01,Not Eligible,ATLAS OIL AND
0W77,WILLIAMS CREEK EXPLORATION LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1981-03-14,,,,01,Not Eligible,
0W78,R C WALTERS & SON FARMS LTD,PO Box 149    Foremost AB CA T0K 0X0,999-999-9999,STRUCK,1999-07-01,,,,01,Not Eligible,WALTERS & SON
0W79,PELICAN PIPELINES LTD.,PO BOX 440 STN M    CALGARY AB CA T2P 2J1,999-999-9999,AMALGAMATED,2007-01-01,0AK7,SIMMONS EDECO INC.,2007-04-30,01,Not Eligible,PELICAN PPL
0W7A,SWISS CANADIAN RESOURCES INC,"402, 1000 8 AVE SW    CALGARY AB CA T2P 3M7",999-999-9999,AMALGAMATED,1996-05-01,0X3J,WESTERN STAR ENERGY CORPORATION,2002-10-31,01,Not Eligible,SWISS CANADIAN
0W7B,T T Y #2,35 Cambridge Rd NW    Calgary AB CA T2K 1R1,999-999-9999,NON REGISTERED,1990-01-01,,,,01,Not Eligible,T T Y # 2
0W7C,T. J. POUNDER & COMPANY LTD,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1970-09-15,,,,01,Not Eligible,T. J. POUNDER
0W7D,TANDEM RESOURCES LTD,111 RICHMOND ST W SUITE 402    TORONTO ON CA M5H 2G4,999-999-9999,STRUCK,1996-07-01,,,,01,Not Eligible,TANDEM RESOURC
0W7E,TARGET CARBONS '11' INC,2600-700 9 Ave SW    Calgary AB CA T2P 3V4,999-999-9999,DISSOLUTION/DISSOLVED,1994-02-08,,,,01,Not Eligible,TARGET CARBONS
0W7F,TEXACO INC,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,TEXACO INC
0W7G,THE CANADA TRUST COMPANY,4 BENTALL CENTRE PO BOX 49390   VANCOUVER BC CA V7X 1P3,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,THE CANADA TRU
0W7H,THE HORSHAM CORPORATION,5 HAZELTON AVE FLOOR 2    TORONTO ON CA M5R 2E1,999-999-9999,STRUCK,1997-07-01,,,,01,Not Eligible,THE HORSHAM CO
0W7J,TN RESOURCES PARTNERSHIP,"2700, 425 1 ST SW    CALGARY AB CA T2P 3L8",999-999-9999,ACTIVE,1984-12-01,,,,01,Not Eligible,TN RESOURCES P
0W7K,TRIMBLE RESOURCES LTD,2200-801 6 Ave SW    Calgary AB CA T2P 3W2,999-999-9999,ACTIVE,2002-10-01,,,,01,Not Eligible,TRIMBLE RESOUR
0W7L,TRISAR RESOURCES LTD,521 3 AVE SW FLOOR 10    CALGARY AB CA T2P 3T3,999-999-9999,STRUCK,2002-10-01,,,,01,Not Eligible,TRISAR RESOURC
0W7M,TRUCENA INVESTMENTS LIMITED,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1992-02-01,0KF5,BIRCHILL MANAGEMENT LIMITED,2002-10-31,01,Not Eligible,TRUCENA INVEST
0W7N,UNIVERSAL EXPLORATIONS LTD,"11 FLOOR, 736 8 AVE SW    CALGARY AB CA T2P 1H4",999-999-9999,AMALGAMATED,1994-01-01,0T15,CANADIAN CONQUEST EXPLORATION INC,2002-10-31,01,Not Eligible,UNIVERSAL EXPL
0W7P,VERONEX RESOURCES LTD,250-625 Howe St    Vancouver BC CA V6C 2T6,999-999-9999,STRUCK,1995-03-01,,,,01,Not Eligible,VERONEX RESOUR
0W7R,VYE EXPLORATION CO. LTD,108 Millrise Close SW    Calgary AB CA T2Y 2G6,999-999-9999,STRUCK,1995-05-01,,,,01,Not Eligible,VYE EXPLORATIO
0W7T,WALROTH AND DAUGHTERS HOLDINGS LTD,PO Box 305    Crossfield AB CA T0M 0S0,999-999-9999,STRUCK,1999-12-01,,,,01,Not Eligible,WALROTH & DAUG
0W7W,WASHOE NORTHERN INC,101 W 6 ST RM 815    AUSTIN TX US 787012942,999-999-9999,STRUCK,1996-01-01,,,,01,Not Eligible,WASHOE NORTHER
0W7X,WEE-L-R PETROLEUM LTD,PO Box 350    Mundare AB CA T0B 3H0,999-999-9999,STRUCK,1997-07-01,,,,01,Not Eligible,WEE-L-R  PETRO
0W7Y,WEST CANADIAN EXPLORERS LTD,9945 108 ST NW FLOOR 3    EDMONTON AB CA T5K 2G6,999-999-9999,NON REGISTERED,1984-12-01,,,,01,Not Eligible,WEST CANADIAN
0W7Z,WESTBURNE PETROLEUM SERVICES LTD,639 5 AVE SW SUITE 1460    CALGARY AB CA T2P 0M9,999-999-9999,STRUCK,1990-05-01,,,,01,Not Eligible,WESTBURNE PETR
0W80,CANADIAN UTILITIES RESOURCES,140 6 AVE SW    CALGARY AB CA T2P 0P5,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,CDN UTIL RES
0W81,NSM RESOURCES LTD,IVEAGH HOUSE 707 7 AVE SW SUITE 1300   CALGARY AB CA T2P 3H6,999-999-9999,STRUCK,2002-10-01,,,,03,Limited Eligibility,NSM RESOURCES
0W82,ALBERTA PETROLEUM & RESOURCES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0K44,ALBERTA PETROLEUM & RESOURCES LTD,2002-10-31,01,Not Eligible,
0W83,ELDOR MINES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1983-06-01,,,,03,Limited Eligibility,ELDOR MINES
0W84,UNI-GAS RESOURCES LIMITED,15 1 St NE    Medicine Hat AB CA T1A 5J9,999-999-9999,ACTIVE,2002-10-01,,,,03,Limited Eligibility,UNI-GAS RES
0W85,MARLINE OIL CORPORATION,"PO BOX 2670 STATION M 1800, 645 7 AVE SW   CALGARY AB CA T2P 3X9",999-999-9999,STRUCK,1988-01-01,,,,03,Limited Eligibility,MARLINE OIL
0W86,MAGNATEX INDUSTRIES INC,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1982-12-01,,,,01,Not Eligible,MAGNATEX IND
0W87,JADE RESOURCES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1983-11-01,,,,03,Limited Eligibility,JADE RESOURCES
0W88,SHEPHERD EXPLORATIONS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0W04,SHEPHERD EXPLORATIONS LTD,2002-10-31,01,Not Eligible,
0W89,MEDCON PETROLEUM LTD,CENTRE 70 7015 MACLEOD TRAIL SW SUITE 703   CALGARY AB CA T2H 1X9,999-999-9999,STRUCK,1995-01-01,,,,03,Limited Eligibility,MEDCON PETRO
0W8A,WESTERN RESOURCES MINERALS LIMITED,1710-205 5 Ave SW    Calgary AB CA T2P 2V7,999-999-9999,STRUCK,1994-10-01,,,,01,Not Eligible,WESTERN RESOUR
0W8B,WESTWARD RESOURCES LTD,707 8 AVE SW SUITE 3400    CALGARY AB CA T2P 1H5,999-999-9999,STRUCK,1987-09-01,,,,01,Not Eligible,WESTWARD RESOU
0W8C,WHITE EAGLE OIL & GAS LTD,736 6 AVE SW SUITE 1000    CALGARY AB CA T2P 3T7,999-999-9999,STRUCK,1993-10-01,,,,01,Not Eligible,WHITE EAGLE OI
0W8D,MONTIN WILLIAM ,1900-255 5 Ave SW    Calgary AB CA T2P 3G6,999-999-9999,NON REGISTERED,1991-01-01,,,,01,Not Eligible,WILLIAM MONTIN
0W8E,YCL RESOURCES INC,610 BOW VALLEY SQ III 255 5 AVE SW   CALGARY AB CA T2P 3G6,999-999-9999,CONTINUED OUT,2002-10-01,,,,01,Not Eligible,YCL RESOURCES
0W8F,YORKSHIRE TRUST COMPANY,HOME OIL TOWER 324 8 AVE SW SUITE 1100   CALGARY AB CA T2P 2Z2,999-999-9999,AMALGAMATED,1996-04-01,0L6P,CENTRAL GUARANTY TRUST COMPANY,2000-03-31,01,Not Eligible,YORKSHIRE TRUS
0W8G,NUVISTA 2009 ENERGY PARTNERSHIP,3500-700 2 St SW    Calgary AB CA T2P 2W2,403-781-2418,DISSOLUTION/DISSOLVED,2014-09-30,,,,01,Not Eligible,RIDER 2001 ENE
0W8H,ROCKY RURAL ELECTRIFICATION ASSOCIATION LIMITED,PO BOX 88    ROCKY MOUNTAIN HOUSE AB CA T4T 1A1,999-999-9999,ACTIVE,2002-10-01,,,,01,Not Eligible,ROCKY RURAL EL
0W8J,SELKIRK ENERGY PARTNERSHIP,1640-700 4 Ave SW    Calgary AB CA T2P 3J4,403-232-4350,DISSOLUTION/DISSOLVED,2005-02-28,,,,01,Not Eligible,SELKIRK ENERGY
0W8K,"GAUCHOIL, INC",1338A 36 AVE NE    CALGARY AB CA T2E 6T6,403-250-0530,STRUCK,2004-10-02,,,,03,Limited Eligibility,"GAUCHOIL, INC"
0W8L,AINSWORTH INC.,PO BOX 22171    CALGARY AB CA T2P 4J5,999-999-9999,ACTIVE,2002-10-01,,,,01,Not Eligible,AINSWORTH INC.
0W8M,OKUSAN ENERGY CORPORATION,102-526 18 Ave SW    Calgary AB CA T2S 0C5,999-999-9999,AMALGAMATED,2005-01-01,0Z4K,DEWPOINT RESOURCES LTD.,2005-04-30,01,Not Eligible,OKUSAN ENERGY
0W8N,"WABAMUN, VILLAGE OF",PO Box 240    Wabamun AB CA T0E 2K0,780-892-2699,NON REGISTERED,2002-10-01,,,,01,Not Eligible,VILLAGE OF WAB
0W8P,WINDWEST LIMITED,211 MIDVALLEY DRIVE SE    CALGARY AB CA T2X 1K7,999-999-9999,STRUCK,2025-06-02,,,,01,Not Eligible,WINDWEST LIMIT
0W8R,ALPINE ENVIRONMENTAL LTD.,PO BOX 1471    GRANDE PRAIRIE AB CA T8V 4Z2,999-999-9999,STRUCK,2010-03-02,,,,01,Not Eligible,ALPINE ENVIRON
0W8T,Q9 NETWORKS INC.,100 WELLINGTON ST W SUITE 990    TORONTO ON CA M5K 1J3,999-999-9999,AMALGAMATED,2017-03-08,A7JR,THE BELL TELEPHONE COMPANY OF CANADA OR BELL CANADA LA COMPAGNIE DE TELEPHONE BELL DU CANADA OU BELL CANADA,2017-06-30,01,Not Eligible,Q9 NETWORKS IN
0W8W,WARREN SINCLAIR LLP,4911 51 ST SUITE 600    RED DEER AB CA T4N 6V4,403-343-3320,ACTIVE,2006-12-11,,,,01,Not Eligible,SISSON WARREN
0W8X,BRYAN & COMPANY BARRISTERS & SOLICITORS,2600-10180 101 St NW    Edmonton AB CA T5J 3S4,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,BRYAN & COMPAN
0W8Y,BURLINGTON O'CHIESE ALDER LIMITED PARTNERSHIP,3700-250 6 Ave SW    Calgary AB CA T2P 3H7,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,BURL O'CHIESE
0W8Z,HIGH POINT PARTNERSHIP,500 4 AVE SW SUITE 2600    CALGARY AB CA T2P 2V6,403-444-4415,DISSOLUTION/DISSOLVED,2006-02-02,,,,01,Not Eligible,MESQUITE PRODU
0W90,MCNALLY LAND SERVICES LTD.,138-5700 1 St SW    Calgary AB CA T2H 3A9,403-403-5263,ACTIVE,2002-10-01,,,,01,Not Eligible,MCNALLY LAND
0W91,REBORN ENERGY MANAGEMENT INC.,7010 11 Ave SW    Calgary AB CA T3H 4B4,403-242-5510,ACTIVE,1984-12-01,,,,02,General Eligibility,RAMIER RES
0W92,MCCRAE KEITH ,RR 4    VERMILLION AB CA T0B 4M0,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,"MCCRAE, KEITH"
0W94,THE GLENEX CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0D79,THE GLENEX CORPORATION,2002-10-31,01,Not Eligible,
0W95,SPRINGER DEVELOPMENT CORPORATION LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0BA7,SPRINGER DEVELOPMENT CORPORATION LTD,2002-10-31,01,Not Eligible,
0W96,KANATA GAS & OIL LTD.,801 6 AVE SW SUITE 2200    CALGARY AB CA T2P 3W2,403-261-4720,AMALGAMATED,2015-01-01,0MH8,CANDEN RESOURCES LTD.,2015-04-30,01,Not Eligible,KANATA G & O
0W97,HARALDSON MINERALS LTD.,620 68 AVE NW    CALGARY AB CA T2K 0N1,999-999-9999,DISSOLUTION/DISSOLVED,2015-10-24,,,,01,Not Eligible,HARALDSON MNRL
0W98,GENEVA RESOURCES LTD,400 5 AVE SW SUITE 450    CALGARY AB CA T2P 0L6,999-999-9999,STRUCK,1997-10-01,,,,03,Limited Eligibility,GENEVA RES
0W99,SAGINAW RESOURCES LTD,708 11 AVE SW SUITE 400 PO BOX 6841 STN D   CALGARY AB CA T2P 2E9,999-999-9999,STRUCK,1997-01-30,,,,01,Not Eligible,SAGINAW RES
0W9A,KINDER MORGAN BISON ULC,300 5 AVE SW  SUITE 2700    CALGARY AB CA T2P 5J2,999-999-9999,DISSOLUTION/DISSOLVED,2016-12-01,,,,01,Not Eligible,BISON PIPELINE
0W9B,BEAUMONT CHURCH LLP,300-2912 Memorial Dr SE    Calgary AB CA T2A 6R1,403-264-0000,ACTIVE,2002-10-01,,,,01,Not Eligible,BEAUMONT CHURC
0W9C,IRRIGATION CANAL POWER COOPERATIVE LTD,1210 36 ST N    LETHBRIDGE AB CA T1J 3X7,999-999-9999,DISSOLUTION/DISSOLVED,2023-11-01,,,,01,Not Eligible,IRRAGATION CAN
0W9D,CONOCOPHILLIPS CANADA (BRC) PARTNERSHIP,401 9 AVE SW PO BOX 4365 STN C   CALGARY AB CA T2P 5N2,403-233-4000,ACTIVE,2002-10-01,,,,01,Not Eligible,BURLINGTON PAR
0W9E,MONOLITH ENERGY PARTNERSHIP,2800-525 8 Ave SW    Calgary AB CA T2P 1G1,403-265-3350,ACTIVE,2002-10-01,,,,01,Not Eligible,MONOLITH PARTN
0W9F,BUFFALO VIEW TRUCKLINE LTD.,219 10 ST    WAINWRIGHT AB CA T9W 1N7,999-999-9999,DISSOLUTION/DISSOLVED,2010-08-23,,,,01,Not Eligible,BUFFALO VIEW T
0W9G,PROVIDENCE ENERGY CORPORATION,340-26 Val Gardena View SW    Calgary AB CA T3H 5Z5,999-999-9999,STRUCK,2015-02-02,,,,01,Not Eligible,PROVIDENCE ENE
0W9H,ROONEY PRENTICE BARRISTERS & SOLICITORS,407 8 AVE SW SUITE 501    CALGARY AB CA T2P 1E5,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,ROONEY PRENTIC
0W9J,RIDGE RESOURCES CORPORATION,159 Woodhaven Pl SW    Calgary AB CA T2W 5P8,999-999-9999,AMALGAMATED,2016-03-01,0C9J,POTTS PETROLEUM INC.,2016-06-30,01,Not Eligible,RIDGE RESOURCE
0W9K,696230 ALBERTA INC,1620-700 6 Ave SW    Calgary AB CA T2P 0T8,403-693-3003,AMALGAMATED,2003-05-01,A0A5,NOOSA ENERGY LTD.,2003-09-30,01,Not Eligible,696230 ALBERTA
0W9L,WARWICK ENERGY LTD,202 6 AVE SW SUITE 1220    CALGARY AB CA T2P 2R9,403-538-5420,AMALGAMATED,2003-07-31,0TR9,WINSTAR RESOURCES LTD.,2003-10-31,01,Not Eligible,WARWICK ENERGY
0W9M,ENERGY EXPLORER INC.,2300-520 5 Ave SW    Calgary AB CA T2P 3R7,403-262-9620,AMALGAMATED,2006-01-12,A0T7,GREAT PLAINS EXPLORATION INC.,2006-04-30,01,Not Eligible,ENERGY EXPLORE
0W9N,KING TREVOR ,PO BOX 3353    WAINWRIGHT AB CA T9W 1T3,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,"KING, TREVOR"
0W9P,981405 ALBERTA LTD.,1000-444 7 Ave SW    Calgary AB CA T2P 0X8,403-770-0333,AMALGAMATED,2012-01-01,A663,TRIDENT EXPLORATION (ALBERTA) CORP.,2012-04-30,01,Not Eligible,981405 ALBERTA
0W9R,981384 ALBERTA LTD.,1000-444 7 Ave SW    Calgary AB CA T2P 0X8,403-770-0333,AMALGAMATED,2012-01-01,A663,TRIDENT EXPLORATION (ALBERTA) CORP.,2012-04-30,01,Not Eligible,981384 ALBERTA
0W9T,GUARDIAN EXPLORATION INC.,538 Hurricane Dr    Calgary AB CA T3Z 3S8,403-730-6333,ACTIVE,2002-10-01,,,,03,Limited Eligibility,GUARDIAN EXPLO
0W9W,KINLOCH RESOURCES INC.,400 5 AVE SW SUITE 530    CALGARY AB CA T2P 0L6,403-503-0675,AMALGAMATED,2005-03-01,A1BN,STYLUS ENERGY INC.,2005-06-30,01,Not Eligible,KINLOCH RESOUR
0W9X,PITTSFIELD GENERATING COMPANY,801 6 AVE SW FLOOR 6    CALGARY AB CA T2P 3W2,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,PITTSFIELD GEN
0W9Y,THACKRAY BURGESS,1900-736 6 Ave SW    Calgary AB CA T2P 3T7,999-999-9999,ACTIVE,2002-10-01,,,,01,Not Eligible,THACKRAY BURGE
0W9Z,HEENAN BLAIKIE LLP,1900-215 9 Ave SW    Calgary AB CA T2P 1K3,999-999-9999,STRUCK,2014-07-21,,,,01,Not Eligible,HEENAN BLAIKIE
0WA1,JUDELLE RESOURCES INC,211-7710 5 St SE    Calgary AB CA T2H 2L9,403-252-2462,AMALGAMATED,2004-01-01,0C8W,FOGO RESOURCES INC.,2004-04-30,01,Not Eligible,JUDELLE RESOUR
0WA2,FREEHOLD RESOURCES LTD.,144 4 AVE SW SUITE 400    CALGARY AB CA T2P 3N4,403-221-0881,AMALGAMATED,2015-01-23,A68A,FREEHOLD ROYALTIES LTD.,2015-04-30,01,Not Eligible,FREEHOLD RESOU
0WA3,KERRINE INVESTMENTS LTD.,PO BOX 4268 RPO ACADIA    CALGARY AB CA T2J 7A6,999-999-9999,STRUCK,2022-01-02,,,,01,Not Eligible,KERRINE INVEST
0WA4,TRINIDAD DRILLING LTD.,400-250 2 St SW    Calgary AB CA T2P 0C1,403-265-6525,ACTIVE,2002-10-01,,,,01,Not Eligible,TRINIDAD DRILL
0WA5,CASING DRILLING LTD,6204 6A ST SE    CALGARY AB CA T2H 2B7,999-999-9999,DISSOLUTION/DISSOLVED,2001-06-20,,,,01,Not Eligible,CASING DRILLIN
0WA6,BARLIN OILWELL SERVICING LTD,PO Box 737    Coronation AB CA T0C 1C0,999-999-9999,STRUCK,2002-09-02,,,,01,Not Eligible,BARLIN OILWELL
0WA7,QB ENERGY CORPORATION,PO Box 32    Amisk AB CA T0B 0B0,780-856-3699,STRUCK,2008-04-02,,,,01,Not Eligible,QB ENERGY CORP
0WA8,SUMI ENGINEERING LTD.,223 rocky ridge close nw    CALGARY AB CA T3G 4X2,999-999-9999,DISSOLUTION/DISSOLVED,2008-07-11,,,,01,Not Eligible,SUMI ENGINEERI
0WA9,TIER ONE ENERGY CORP,3500-700 2 St SW    Calgary AB CA T2P 2W2,999-999-9999,STRUCK,2002-01-02,,,,03,Limited Eligibility,TIER ONE ENERG
0WB1,"ENSERCH ENERGY SERVICES (CANADA), INC",1301 FANNIN SUITE 2300    HOUSTON TX US 77002,999-999-9999,STRUCK,2001-10-02,,,,01,Not Eligible,ENSERCH ENERGY
0WB2,BLACKROCK VENTURES INC.,400 4 AVE SW PO BOX 100 STN MAIN   CALGARY AB CA T2P 2H5,403-233-2253,AMALGAMATED,2019-01-15,A839,SHELL CANADA BROS INC.,2019-04-30,01,Not Eligible,BLACKROCK VENT
0WB3,GARDEN-WILLIAMSON RESOURCE ENGINEERING INC,4800 27 St SE    Calgary AB CA T2B 3M4,999-999-9999,DISSOLUTION/DISSOLVED,2001-11-16,,,,01,Not Eligible,GARDEN-WILLIAM
0WB4,CAUSEWAY ENERGY CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1998-12-01,0NX2,CAUSEWAY ENERGY CORPORATION,2002-10-31,01,Not Eligible,
0WB5,CHAIN ENERGY CORPORATION,521 3 AVE SW SUITE 1250    CALGARY AB CA T2P 3T3,999-999-9999,AMALGAMATED,2002-04-01,0YW4,CEQUEL ENERGY INC.,2002-10-31,01,Not Eligible,
0WB6,ABSOLUTE ENGINEERING LIMITED,2882 11 St NE    Calgary AB CA T2E 7S7,999-999-9999,STRUCK,2001-07-02,,,,01,Not Eligible,ABSOLUTE ENGIN
